資料比對,分機號碼,線組編號,使用單位,裝機位置,分機種類,副機數量,G450 Port,對應DID號碼,拆遷記錄,備註
●,3162,330K - 232,W522,動力二場控制室,甲機,2,010V309,0,,
●,3983,330K - 234,Y92,動力二場煙道,甲機,3,011V113,0,,
●,3760,330K - 235,W522,動力二場汽機值班室及動力二場EDG各1支,甲機,1,010V712,0,94.09.15更甲；1020513增1副,
●,5305,330K - 237,W522,動力二場W521控制室,乙機,0,011V216,0,95.03.02裝,FAX
●,6050,330K - 238,W52,#8鍋爐北臨時水質化驗室、BLR-10 ACR鹼洗用臨時,乙機,1,011V408,0,93.12.16遷、95.11.28增副,FGD專案
●,3100,330K - 25,W241,#3BF控制室,甲機,1,010V214,0,112.02.13增無線副,
●,3136,330K - 27,W241,#3 BF控制室,甲機,0,010V223,0,,
●,5773,330K - 3,T13,T1製程大樓323實驗室,乙機,0,007V708,0,100.04.07新裝,
●,3877,"330K - 47
330P - 256",Y6P1,動力一、二場電腦室、UDC 1F電腦室,甲機,1,010V722,0,,
●,2571,330K - 5,W263,#3BF二樓電氣休息室,乙機,1,008V403,0,,
●,6069,330K - 52,W522,動力二場辦公室,甲機,1,011V414,0,1030613增1副,
●,3298,330K - 53,W511,NO2.動力場,乙機,2,010V501,0,,
●,3259,330K - 55,W522,動力二場辦公室,甲機,0,010V411,0,,副主任
●,3093,330K - 57,W522,動力二場水場二樓值班室,乙機,0,010V213,0,1049002遷移；,
●,5939,330K - 58,W562,新電氣大樓2樓,甲機,0,024V319,0,103.09.15增甲；,
●,3122,330K - 6,W241,#3BF二樓日班設備股,甲機,2,010V219,0,,
●,2212,330K - 63,W522,動力二場辦公室,甲機,0,009V712,0,,
●,3310,330K - 7,W241,#3 BF三樓辦公室,甲機,2,010V506,0,105.11.07遷移；106.04.27遷移,
●,6073,330K - 70,W522,動力二場辦公室,甲機,2,011V415,0,1030613增1副,傳真機
●,5307,330K - 74,W564,動力二場W564辦公室,乙機,0,011V218,0,95.03.02裝,FAX
●,3155,330K - 76,W564,動力二場三樓工作間、維護室,甲機,1,010V306,0,,
●,5306,330K - 77,W562,動力二場W562辦公室,乙機,0,011V217,0,95.03.02裝,FAX
●,3172,330K - 78,W562,動力二場機械維護工房-派工間,甲機,2,010V320   ,0,,
●,6093,330K - 79,W562,動力二場機械維護辦公室及CDA會議室,乙機,1,011V419,0,,
●,3328,330K - 8,Y6P1,#3 高爐電腦室,甲機,0,010V513,0,,課長
●,3841,330K - 80,W522,動力二場循環水處理控制專線,甲機,0,010V719,0,,
●,6831,330K - 81,中碳,煤焦油工廠（倉庫/地磅）,甲機,0,011V601,0,90.11.19新裝,
●,6895,330K - 82,中碳,煤焦油工廠（主管）,甲機,0,011V606,0,90.11.19新裝,
●,6896,330K - 83,中碳,煤焦油工廠（常日班工程師）,甲機,0,011V607,0,,
●,6897,330K - 84,中碳,煤焦油工廠（值班室）,甲機,0,011V608,0,,
●,6898,330K - 85,中碳,煤焦油工廠（品質管制組）,甲機,0,011V609,0,,
●,6899,330K - 86,中碳,煤焦油工廠（第一控制室）,甲機,0,011V610,0,,
●,3116,330K - 9,W240,高爐二場副主任室,甲機,1,010V218,0,94.03.01增副,副主任
●,3978,330K - 94,中碳,煤焦油工廠（新事業開發室）,甲機,0,011V111,0,,
●,3979,330K - 97,中碳,煤焦油工廠（機械儀電修護組）,甲機,0,"011V112
",0,,
